Index,Term,Comparison,estimate,conf.low,conf.high,P
H,Density,High-Control,0.5975284658097084,0.2505873728093733,0.9444695588100436,6.942743529602113e-4
H,Density,Low-Control,0.4547571998674955,0.10781610686716042,0.8016982928678307,0.008694083093691463
H,Density,Low-High,-0.1427712659422129,-0.489712358942548,0.2041698270581222,0.5670465129039864
H,Site x Density,S:Control-K:Control,-0.36436223991796435,-0.9718423525449067,0.243117872708978,0.4522285996415457
H,Site x Density,K:High-K:Control,0.5774565440618817,-0.03002356856506061,1.1849366566888242,0.0691181429048926
H,Site x Density,S:High-K:Control,0.25323814763957064,-0.3542419649873717,0.860718260266513,0.7879997431413626
H,Site x Density,K:Low-K:Control,0.36055565504066145,-0.2469244575862809,0.9680357676676038,0.4635369229973427
H,Site x Density,S:Low-K:Control,0.1845965047763649,-0.42288360785057744,0.7920766174033073,0.9320265777099326
H,Site x Density,K:High-S:Control,0.9418187839798461,0.33433867135290374,1.5492988966067884,8.878370986660222e-4
H,Site x Density,S:High-S:Control,0.617600387557535,0.010120274930592643,1.2250805001844773,0.044727109559363765
H,Site x Density,K:Low-S:Control,0.7249178949586258,0.11743778233168345,1.3323980075855681,0.01295993015623187
H,Site x Density,S:Low-S:Control,0.5489587446943293,-0.05852136793261309,1.1564388573212716,0.09301110483466846
H,Site x Density,S:High-K:High,-0.3242183964223111,-0.9316985090492534,0.28326171620463125,0.5754186062126896
H,Site x Density,K:Low-K:High,-0.2169008890212203,-0.8243810016481626,0.39057922360572206,0.8749333112687644
H,Site x Density,S:Low-K:High,-0.3928600392855168,-1.000340151912459,0.21462007334142552,0.3715024136803837
H,Site x Density,K:Low-S:High,0.1073175074010908,-0.5001626052258515,0.7147976200280332,0.9935114811778271
H,Site x Density,S:Low-S:High,-0.06864164286320573,-0.6761217554901481,0.5388384697637366,0.9992207187337534
H,Site x Density,S:Low-K:Low,-0.17595915026429654,-0.7834392628912389,0.4315209623626458,0.9438524447568735
S,Site,S-K,-0.35407709776212015,-0.5164639701913245,-0.19169022533291585,1.4802011378323154e-4
S,Density,High-Control,0.6178657034136528,0.3772207763325715,0.8585106304947341,3.6430410651489e-6
S,Density,Low-Control,0.33650583350462826,0.095860906423547,0.5771507605857096,0.005145834497266688
S,Density,Low-High,-0.2813598699090245,-0.5220047969901058,-0.040714942827943246,0.019783887394211885
S,Site x Density,S:Control-K:Control,-0.5724401761858936,-0.9937999123361927,-0.1510804400355945,0.0038133354340418313
S,Site x Density,K:High-K:Control,0.480033084266581,0.05867334811628189,0.9013928204168801,0.0191171187774678
S,Site x Density,S:High-K:Control,0.18325814637483084,-0.23810158977546825,0.6046178825251299,0.75785529270169
S,Site x Density,K:Low-K:Control,0.14679383501603982,-0.27456590113425927,0.5681535711663389,0.8856153341932411
S,Site x Density,S:Low-K:Control,-0.046222344192677234,-0.4675820803429763,0.37513739195762186,0.9993248130198175
S,Site x Density,K:High-S:Control,1.0524732604524747,0.6311135243021756,1.473832996602774,8.145392563774223e-7
S,Site x Density,S:High-S:Control,0.7556983225607244,0.33433858641042535,1.1770580587110235,1.3872158621852648e-4
S,Site x Density,K:Low-S:Control,0.7192340112019334,0.29787427505163433,1.1405937473522325,2.681976616665249e-4
S,Site x Density,S:Low-S:Control,0.5262178319932164,0.10485809584291728,0.9475775681435155,0.008635093789409742
S,Site x Density,S:High-K:High,-0.29677493789175013,-0.7181346740420492,0.12458479825854896,0.28409277155559776
S,Site x Density,K:Low-K:High,-0.33323924925054116,-0.7545989854008402,0.08812048689975793,0.18073243466701994
S,Site x Density,S:Low-K:High,-0.5262554284592582,-0.9476151646095573,-0.10489569230895912,0.008629421044085372
S,Site x Density,K:Low-S:High,-0.036464311358791024,-0.4578240475090901,0.38489542479150807,0.9997876699318947
S,Site x Density,S:Low-S:High,-0.22948049056750808,-0.6508402267178072,0.191879245582791,0.5546652258341036
S,Site x Density,S:Low-K:Low,-0.19301617920871705,-0.6143759153590161,0.22834355694158204,0.7171770425142732
J,Site,S-K,-0.01224067508450899,-0.13313319732601808,0.10865184715700012,0.8362313468871299
J,Density,High-Control,0.12333649891901866,-0.055816974291318905,0.30248997212935624,0.21875240996034528
J,Density,Low-Control,0.16212838115739725,-0.01702509205294031,0.34128185436773484,0.08133423384687821
J,Density,Low-High,0.038791882238378594,-0.14036159097195897,0.21794535544871615,0.8521204969134777
J,Site x Density,S:Control-K:Control,0.026181308338533604,-0.28750932756206476,0.339871944239132,0.9998222416212255
J,Site x Density,K:High-K:Control,0.16033214747310987,-0.1533584884274885,0.47402278337370823,0.6184692557715832
J,Site x Density,S:High-K:Control,0.11252215870346105,-0.20116847719713732,0.4262127946040594,0.8728360706459056
J,Site x Density,K:Low-K:Control,0.18276570773786982,-0.13092492816272855,0.4964563436384682,0.48344007702555236
J,Site x Density,S:Low-K:Control,0.16767236291545828,-0.14601827298514009,0.48136299881605665,0.5738855231986021
J,Site x Density,K:High-S:Control,0.13415083913457626,-0.1795397967660221,0.44784147503517463,0.7701724195523567
J,Site x Density,S:High-S:Control,0.08634085036492745,-0.22734978553567092,0.4000314862655258,0.9543941425253621
J,Site x Density,K:Low-S:Control,0.15658439939933622,-0.15710623650126215,0.4702750352999346,0.6411259810192245
J,Site x Density,S:Low-S:Control,0.14149105457692468,-0.1721995813236737,0.45518169047752305,0.7297288824891416
J,Site x Density,S:High-K:High,-0.047809988769648815,-0.3615006246702472,0.26588064713094955,0.9967415326872804
J,Site x Density,K:Low-K:High,0.022433560264759955,-0.2912570756358384,0.3361241961653583,0.9999169222684278
J,Site x Density,S:Low-K:High,0.007340215442348419,-0.30635042045824995,0.3210308513429468,0.9999996792110609
J,Site x Density,K:Low-S:High,0.07024354903440877,-0.2434470868661896,0.38393418493500714,0.9810817171127117
J,Site x Density,S:Low-S:High,0.055150204211997234,-0.25854043168860114,0.3688408401125956,0.9936542557550043
J,Site x Density,S:Low-K:Low,-0.015093344822411536,-0.3287839807230099,0.29859729107818683,0.9999883403485104
