Cellana ornata,Diloma,Haustrum scobina,Perna,Xenostrobus,Ulva,Bostrychia arbuscula,Petalonia,Ralfsia,Scytothamnus,Splachnidium,Corallina sp,Crustose Coralline,Gelidium,Anemone,Spirobranchus,Pyura doppel,Epopella,image,site,density,treat,index,value
0,0,0,0,0,0,0,0,20.408163265306122,0,0,48.97959183673469,2.0408163265306123,8.16326530612245,0,0,0,10.204081632653061,IMG_8753.JPG,Shipwreck,High,C,S,5
0,0,0,0,0,0,2.0833333333333335,0,37.5,0,2.0833333333333335,37.5,2.0833333333333335,0,0,0,0,18.75,IMG_8743.JPG,Shipwreck,High,C,S,6
0,2,0,0,28,0,0,0,10,0,0,28,0,0,0,0,0,32,IMG_8732.JPG,Shipwreck,High,C,S,5
0,0,2,0,48,0,0,0,8,0,0,2,4,2,0,0,0,32,IMG_8728.JPG,Shipwreck,High,C,S,7
0,0,0,0,0,0,0,2,60,0,2,2,6,0,0,0,0,18,IMG_8748.JPG,Shipwreck,High,C,S,6
2,0,0,0,0,0,0,0,38,0,0,10,0,0,0,0,0,42,IMG_8761.JPG,Shipwreck,Low,C,S,4
0,0,0,0,0,0,0,0,22,6,0,42,8,0,0,10,0,0,IMG_8757.JPG,Shipwreck,Low,C,S,5
0,2.0408163265306123,0,0,2.0408163265306123,0,0,0,18.367346938775512,0,0,6.122448979591836,0,0,0,0,0,34.69387755102041,IMG_8762.JPG,Shipwreck,Low,C,S,5
0,0,0,0,28,0,0,0,34,0,0,6,4,0,0,0,0,12,IMG_8720.JPG,Shipwreck,Low,C,S,5
0,0,0,0,42,0,0,0,0,0,0,0,0,6,0,2,0,28,IMG_8716.JPG,Shipwreck,Low,C,S,4
0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,42,IMG_8772.JPG,Shipwreck,Control,C,S,3
0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,8,IMG_8766.JPG,Shipwreck,Control,C,S,2
0,0,0,0,0,0,0,0,56,0,0,0,2,0,0,0,0,10,IMG_8737.JPG,Shipwreck,Control,C,S,3
0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,14,IMG_8740.JPG,Shipwreck,Control,C,S,2
0,0,0,0,52,0,0,0,26,0,0,0,0,8,0,0,0,12,IMG_8725.JPG,Shipwreck,Control,C,S,4
0,0,0,0,36,30,0,2,6,2,0,0,0,4,0,0,2,0,IMG_8581.JPG,Koutau,High,C,N,82
0,0,0,0,26,14,0,2,12,12,0,18,0,0,0,0,2,0,IMG_8591.JPG,Koutau,High,C,N,86
2.0833333333333335,0,6.25,2.0833333333333335,27.083333333333332,6.25,0,0,4.166666666666667,18.75,0,0,0,4.166666666666667,0,0,0,2.0833333333333335,IMG_8638.JPG,Koutau,High,C,N,72.91666666666667
0,0,2,0,58,2,0,2,6,10,0,0,0,8,0,0,0,0,IMG_8660.JPG,Koutau,High,C,N,88
2,0,2,0,28,8,0,0,4,0,0,8,0,14,4,0,0,4,IMG_8677.JPG,Koutau,High,C,N,74
0,2,0,0,24,22,0,0,10,38,0,0,0,0,0,0,0,0,IMG_8617.JPG,Koutau,Low,C,N,96
0,0,0,0,14,48,0,2,24,8,0,0,0,0,0,0,0,4,IMG_8572.JPG,Koutau,Low,C,N,100
0,0,0,0,26,24,0,0,8,30,0,0,0,0,0,0,0,2,IMG_8568.JPG,Koutau,Low,C,N,90
0,0,0,0,62,6,0,0,4,14,0,0,0,0,2,0,0,0,IMG_8633.JPG,Koutau,Low,C,N,88
0,0,0,0,26,20,0,6,4,0,0,12,0,4,0,0,0,4,IMG_8669.JPG,Koutau,Low,C,N,76
2,2,0,0,60,2,0,0,0,22,0,0,0,0,0,0,0,2,IMG_8683.JPG,Koutau,Control,C,N,90
0,2,0,12,24,16,0,0,8,8,0,0,0,0,0,0,0,2,IMG_8611.JPG,Koutau,Control,C,N,72
0,0,0,0,36.734693877551024,28.571428571428573,0,0,8.16326530612245,12.244897959183673,0,0,0,0,0,0,0,0,IMG_8608.JPG,Koutau,Control,C,N,85.71428571428572
0,0,0,0,68,6,0,2,0,16,0,0,0,2,0,0,0,0,IMG_8646.JPG,Koutau,Control,C,N,94
0,0,0,0,94,0,0,0,2,0,0,0,0,0,0,2,0,0,IMG_8663.JPG,Koutau,Control,C,N,98
0,0,0,0,0,0,0,0,20.408163265306122,0,0,48.97959183673469,2.0408163265306123,8.16326530612245,0,0,0,10.204081632653061,IMG_8753.JPG,Shipwreck,High,C,N,89.79591836734694
0,0,0,0,0,0,2.0833333333333335,0,37.5,0,2.0833333333333335,37.5,2.0833333333333335,0,0,0,0,18.75,IMG_8743.JPG,Shipwreck,High,C,N,100
0,2,0,0,28,0,0,0,10,0,0,28,0,0,0,0,0,32,IMG_8732.JPG,Shipwreck,High,C,N,100
0,0,2,0,48,0,0,0,8,0,0,2,4,2,0,0,0,32,IMG_8728.JPG,Shipwreck,High,C,N,98
0,0,0,0,0,0,0,2,60,0,2,2,6,0,0,0,0,18,IMG_8748.JPG,Shipwreck,High,C,N,90
2,0,0,0,0,0,0,0,38,0,0,10,0,0,0,0,0,42,IMG_8761.JPG,Shipwreck,Low,C,N,92
0,0,0,0,0,0,0,0,22,6,0,42,8,0,0,10,0,0,IMG_8757.JPG,Shipwreck,Low,C,N,88
0,2.0408163265306123,0,0,2.0408163265306123,0,0,0,18.367346938775512,0,0,6.122448979591836,0,0,0,0,0,34.69387755102041,IMG_8762.JPG,Shipwreck,Low,C,N,63.265306122448976
0,0,0,0,28,0,0,0,34,0,0,6,4,0,0,0,0,12,IMG_8720.JPG,Shipwreck,Low,C,N,84
0,0,0,0,42,0,0,0,0,0,0,0,0,6,0,2,0,28,IMG_8716.JPG,Shipwreck,Low,C,N,78
0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,42,IMG_8772.JPG,Shipwreck,Control,C,N,48
0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,8,IMG_8766.JPG,Shipwreck,Control,C,N,40
0,0,0,0,0,0,0,0,56,0,0,0,2,0,0,0,0,10,IMG_8737.JPG,Shipwreck,Control,C,N,68
0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,14,IMG_8740.JPG,Shipwreck,Control,C,N,78
0,0,0,0,52,0,0,0,26,0,0,0,0,8,0,0,0,12,IMG_8725.JPG,Shipwreck,Control,C,N,98
0,0,0,0,36,30,0,2,6,2,0,0,0,4,0,0,2,0,IMG_8581.JPG,Koutau,High,C,J',0.6884593168802583
0,0,0,0,26,14,0,2,12,12,0,18,0,0,0,0,2,0,IMG_8591.JPG,Koutau,High,C,J',0.8782852218291483
2.0833333333333335,0,6.25,2.0833333333333335,27.083333333333332,6.25,0,0,4.166666666666667,18.75,0,0,0,4.166666666666667,0,0,0,2.0833333333333335,IMG_8638.JPG,Koutau,High,C,J',0.8056079668335012
0,0,2,0,58,2,0,2,6,10,0,0,0,8,0,0,0,0,IMG_8660.JPG,Koutau,High,C,J',0.6069204939602163
2,0,2,0,28,8,0,0,4,0,0,8,0,14,4,0,0,4,IMG_8677.JPG,Koutau,High,C,J',0.8338105119339696
0,2,0,0,24,22,0,0,10,38,0,0,0,0,0,0,0,0,IMG_8617.JPG,Koutau,Low,C,J',0.8495511338146435
0,0,0,0,14,48,0,2,24,8,0,0,0,0,0,0,0,4,IMG_8572.JPG,Koutau,Low,C,J',0.7697030419638009
0,0,0,0,26,24,0,0,8,30,0,0,0,0,0,0,0,2,IMG_8568.JPG,Koutau,Low,C,J',0.8556563568688095
0,0,0,0,62,6,0,0,4,14,0,0,0,0,2,0,0,0,IMG_8633.JPG,Koutau,Low,C,J',0.58952312651183425
0,0,0,0,26,20,0,6,4,0,0,12,0,4,0,0,0,4,IMG_8669.JPG,Koutau,Low,C,J',0.8608176536018054
2,2,0,0,60,2,0,0,0,22,0,0,0,0,0,0,0,2,IMG_8683.JPG,Koutau,Control,C,J',0.5319047602285926
0,2,0,12,24,16,0,0,8,8,0,0,0,0,0,0,0,2,IMG_8611.JPG,Koutau,Control,C,J',0.8666518392530373
0,0,0,0,36.734693877551024,28.571428571428573,0,0,8.16326530612245,12.244897959183673,0,0,0,0,0,0,0,0,IMG_8608.JPG,Koutau,Control,C,J',0.8881659264001537
0,0,0,0,68,6,0,2,0,16,0,0,0,2,0,0,0,0,IMG_8646.JPG,Koutau,Control,C,J',0.5437250487005413
0,0,0,0,94,0,0,0,2,0,0,0,0,0,0,2,0,0,IMG_8663.JPG,Koutau,Control,C,J',0.18097519948921972
0,0,0,0,0,0,0,0,20.408163265306122,0,0,48.97959183673469,2.0408163265306123,8.16326530612245,0,0,0,10.204081632653061,IMG_8753.JPG,Shipwreck,High,C,J',0.7570801527729228
0,0,0,0,0,0,2.0833333333333335,0,37.5,0,2.0833333333333335,37.5,2.0833333333333335,0,0,0,0,18.75,IMG_8743.JPG,Shipwreck,High,C,J',0.720767829842484
0,2,0,0,28,0,0,0,10,0,0,28,0,0,0,0,0,32,IMG_8732.JPG,Shipwreck,High,C,J',0.8611569963499361
0,0,2,0,48,0,0,0,8,0,0,2,4,2,0,0,0,32,IMG_8728.JPG,Shipwreck,High,C,J',0.6621214258151603
0,0,0,0,0,0,0,2,60,0,2,2,6,0,0,0,0,18,IMG_8748.JPG,Shipwreck,High,C,J',0.5729071628083454
2,0,0,0,0,0,0,0,38,0,0,10,0,0,0,0,0,42,IMG_8761.JPG,Shipwreck,Low,C,J',0.7557056616348228
0,0,0,0,0,0,0,0,22,6,0,42,8,0,0,10,0,0,IMG_8757.JPG,Shipwreck,Low,C,J',0.8374510522728763
0,2.0408163265306123,0,0,2.0408163265306123,0,0,0,18.367346938775512,0,0,6.122448979591836,0,0,0,0,0,34.69387755102041,IMG_8762.JPG,Shipwreck,Low,C,J',0.7058789454453973
0,0,0,0,28,0,0,0,34,0,0,6,4,0,0,0,0,12,IMG_8720.JPG,Shipwreck,Low,C,J',0.83492631075338275
0,0,0,0,42,0,0,0,0,0,0,0,0,6,0,2,0,28,IMG_8716.JPG,Shipwreck,Low,C,J',0.7158226185423564
0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,42,IMG_8772.JPG,Shipwreck,Control,C,J',0.4153735007338397
0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,8,IMG_8766.JPG,Shipwreck,Control,C,J',0.7219280948873623
0,0,0,0,0,0,0,0,56,0,0,0,2,0,0,0,0,10,IMG_8737.JPG,Shipwreck,Control,C,J',0.49654465378958
0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,14,IMG_8740.JPG,Shipwreck,Control,C,J',0.6789538995185759
0,0,0,0,52,0,0,0,26,0,0,0,0,8,0,0,0,12,IMG_8725.JPG,Shipwreck,Control,C,J',0.8295291668348539
0,0,0,0,36,30,0,2,6,2,0,0,0,4,0,0,2,0,IMG_8581.JPG,Koutau,High,C,H',1.3396799719289825
0,0,0,0,26,14,0,2,12,12,0,18,0,0,0,0,2,0,IMG_8591.JPG,Koutau,High,C,H',1.7090641269226368
2.0833333333333335,0,6.25,2.0833333333333335,27.083333333333332,6.25,0,0,4.166666666666667,18.75,0,0,0,4.166666666666667,0,0,0,2.0833333333333335,IMG_8638.JPG,Koutau,High,C,H',1.770101624424431
0,0,2,0,58,2,0,2,6,10,0,0,0,8,0,0,0,0,IMG_8660.JPG,Koutau,High,C,H',1.181012748866849
2,0,2,0,28,8,0,0,4,0,0,8,0,14,4,0,0,4,IMG_8677.JPG,Koutau,High,C,H',1.8320689496626132
0,2,0,0,24,22,0,0,10,38,0,0,0,0,0,0,0,0,IMG_8617.JPG,Koutau,Low,C,H',1.3672998033126629
0,0,0,0,14,48,0,2,24,8,0,0,0,0,0,0,0,4,IMG_8572.JPG,Koutau,Low,C,H',1.3791227139322793
0,0,0,0,26,24,0,0,8,30,0,0,0,0,0,0,0,2,IMG_8568.JPG,Koutau,Low,C,H',1.3771257807599042
0,0,0,0,62,6,0,0,4,14,0,0,0,0,2,0,0,0,IMG_8633.JPG,Koutau,Low,C,H',0.9488008700648305
0,0,0,0,26,20,0,6,4,0,0,12,0,4,0,0,0,4,IMG_8669.JPG,Koutau,Low,C,H',1.675073808629734
2,2,0,0,60,2,0,0,0,22,0,0,0,0,0,0,0,2,IMG_8683.JPG,Koutau,Control,C,H',0.9530453908670589
0,2,0,12,24,16,0,0,8,8,0,0,0,0,0,0,0,2,IMG_8611.JPG,Koutau,Control,C,H',1.6864266096999392
0,0,0,0,36.734693877551024,28.571428571428573,0,0,8.16326530612245,12.244897959183673,0,0,0,0,0,0,0,0,IMG_8608.JPG,Koutau,Control,C,H',1.2312594155073568
0,0,0,0,68,6,0,2,0,16,0,0,0,2,0,0,0,0,IMG_8646.JPG,Koutau,Control,C,H',0.8750917073187287
0,0,0,0,94,0,0,0,2,0,0,0,0,0,0,2,0,0,IMG_8663.JPG,Koutau,Control,C,H',0.19882157810301943
0,0,0,0,0,0,0,0,20.408163265306122,0,0,48.97959183673469,2.0408163265306123,8.16326530612245,0,0,0,10.204081632653061,IMG_8753.JPG,Shipwreck,High,C,H',1.2184735006241427
0,0,0,0,0,0,2.0833333333333335,0,37.5,0,2.0833333333333335,37.5,2.0833333333333335,0,0,0,0,18.75,IMG_8743.JPG,Shipwreck,High,C,H',1.2914425842352262
0,2,0,0,28,0,0,0,10,0,0,28,0,0,0,0,0,32,IMG_8732.JPG,Shipwreck,High,C,H',1.3859787184834613
0,0,2,0,48,0,0,0,8,0,0,2,4,2,0,0,0,32,IMG_8728.JPG,Shipwreck,High,C,H',1.2884288024006951
0,0,0,0,0,0,0,2,60,0,2,2,6,0,0,0,0,18,IMG_8748.JPG,Shipwreck,High,C,H',1.0265118339504318
2,0,0,0,0,0,0,0,38,0,0,10,0,0,0,0,0,42,IMG_8761.JPG,Shipwreck,Low,C,H',1.0476304973907309
0,0,0,0,0,0,0,0,22,6,0,42,8,0,0,10,0,0,IMG_8757.JPG,Shipwreck,Low,C,H',1.3478254733357986
0,2.0408163265306123,0,0,2.0408163265306123,0,0,0,18.367346938775512,0,0,6.122448979591836,0,0,0,0,0,34.69387755102041,IMG_8762.JPG,Shipwreck,Low,C,H',1.1360683363888244
0,0,0,0,28,0,0,0,34,0,0,6,4,0,0,0,0,12,IMG_8720.JPG,Shipwreck,Low,C,H',1.3437620586152292
0,0,0,0,42,0,0,0,0,0,0,0,0,6,0,2,0,28,IMG_8716.JPG,Shipwreck,Low,C,H',0.9923408596473431
0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,42,IMG_8772.JPG,Shipwreck,Control,C,H',0.4563344322932884
0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,8,IMG_8766.JPG,Shipwreck,Control,C,H',0.5004024235381879
0,0,0,0,0,0,0,0,56,0,0,0,2,0,0,0,0,10,IMG_8737.JPG,Shipwreck,Control,C,H',0.5455100585256847
0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,14,IMG_8740.JPG,Shipwreck,Control,C,H',0.47061498118148126
0,0,0,0,52,0,0,0,26,0,0,0,0,8,0,0,0,12,IMG_8725.JPG,Shipwreck,Control,C,H',1.1499716063676388
